uesi_id,city,date,pm25,pm10,o3,no2,so2,co,psi,WHO,Concentration,Anomaly
CHN_R912940,"Beijing, CHN",2024-02-05,158.5,69.86666666666666,26.5,16,1.7272727272727273,6.875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-04,138.375,75.9375,15.6875,21.9375,1.6666666666666667,8.5,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-03,107.9375,63.5625,15.6875,20.4375,1.25,5.9375,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-02,63.75,49.3125,14.75,16.875,1.1111111111111112,4.625,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-02-01,101.4375,31.125,23.3125,9.625,1.4615384615384617,3.3125,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-01-31,170.5625,50.1875,25,12.125,1.1111111111111112,4.875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-30,135.4,83.625,12.9375,18.5,1.5454545454545454,9.375,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-29,90.53333333333332,69.1875,12.1875,23.125,2.0625,8.25,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-01-28,63,46.25,20.3125,20,1.2307692307692308,4.1875,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-01-27,59.25,34.125,26.625,11.3125,1,2.3125,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-01-26,53.1875,34.5,26.875,9.0625,1,2,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-01-25,44.875,25.875,27.5625,10.375,1,2,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-01-24,28.3125,25.625,25.5625,10.25,1,1.9375,NA,Within 4th Interim Target of 35µg/m^3,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-01-23,28.625,15.3125,26.625,4.5625,1,1.3125,NA,Within 4th Interim Target of 35µg/m^3,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-01-22,26.5,13.6875,26.1875,3.375,1,1.25,NA,Within 4th Interim Target of 35µg/m^3,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-01-21,98.1875,20.625,26.0625,3.7142857142857144,1,1.7142857142857142,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-01-20,120.875,52.125,25.5625,19.5625,1.3571428571428572,6.4375,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-19,157.1875,61.375,8.5625,25.125,1.7142857142857142,8,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-18,167.875,75.125,10.125,25.125,1.4545454545454546,8.5625,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-17,125.4375,87.75,3.9375,30,1,7.9375,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-16,63.5,64.0625,8.1875,24.75,1,6.0625,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-01-15,32.875,34.5,16.125,17.75,1,3.5,NA,Within 4th Interim Target of 35µg/m^3,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-01-14,126.5,23.75,26.3125,7.375,1,2,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-13,154.5625,64.8125,11.8125,23.0625,1.375,9.1875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-12,139.625,85,7.4375,31.75,1.6428571428571428,10.875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-11,84.75,71.1875,9.9375,28.8125,1.181818181818182,7.875,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-01-10,90.9375,40.8125,15.375,19.9375,1,4.75,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-01-09,116,43.875,20,17.125,1.5833333333333333,3.875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-08,50.8125,54.75,8.3125,22.9375,1.3333333333333333,4.9375,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-01-07,26.0625,24.125,16.5,10.5625,1,2.25,NA,Within 4th Interim Target of 35µg/m^3,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-01-06,69.0625,16.0625,21.0625,5.125,1,1.875,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-01-05,107.375,41.125,19.5625,15.5625,1,3.5,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-04,59.6875,52.4375,24.9375,19.9375,1.1666666666666667,5.5,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-01-03,140.5,32.5,20.0625,15.6875,1,3.5,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-02,141.8,71.6875,20.1875,25.375,1,7.6875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-01-01,42.266666666666666,68.625,11.5625,23.625,1.3333333333333333,6.25,NA,Exceeding All Recommended Guidelines,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2023-12-31,185.86666666666667,30.625,24.9375,10.125,1,2.5,NA,Exceeding All Recommended Guidelines,>103.4 ppm,>2
CHN_R912940,"Beijing, CHN",2023-12-30,174.26666666666668,97.6875,24.25,29.875,1.5555555555555556,10.3125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2023-12-29,125.25,86.8,7.75,30.875,1.2857142857142858,9.875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2023-12-28,83.5625,56.9375,10.875,24.125,1.0833333333333333,7,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2023-12-27,98,43.4375,13.75,20.8125,1.1111111111111112,5.5,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
